title,authors,abstract,categories,published,clean_abstract,cluster,cluster_topic
Tokenisation over Bounded Alphabets is Hard,"Violeta Kastreva, Philip Whittington, Dennis Komm, Tiago Pimentel","Recent works have shown that tokenisation is NP-complete. However, these works assume tokenisation is applied to inputs with unboundedly large alphabets -- an unrealistic assumption, given that in practice tokenisers operate over fixed-size alphabets, such as bytes or Unicode characters. We close this gap by analysing tokenisation over bounded $n$-ary alphabets, considering two natural variants: bottom-up tokenisation and direct tokenisation, where we must, respectively, select a sequence of merge operations or a vocabulary whose application optimally compresses a dataset. First, we note that proving hardness results for an $n$-ary alphabet proves the same results for alphabets of any larger size. We then prove that even with binary alphabets, both variants are not only NP-complete, but admit no polynomial-time approximation scheme (unless P=NP). We further show that direct tokenisation remains NP-complete even when applied to unary alphabets. While unary alphabets may not be practically useful, this result establishes that the computational intractability of tokenisation is not an artifact of large alphabets or complex constructions, but a fundamental barrier. Overall, our results explain why practical algorithms such as BPE and UnigramLM are heuristic, and points toward approximation algorithms being an important path going forward for tokenisation research.","cs.CL, cs.DS, cs.LG",2025-11-19 18:59:56+00:00,recent work shown tokenisation npcomplete however work assume tokenisation applied input unboundedly large alphabet unrealistic assumption given practice tokenisers operate fixedsize alphabet byte unicode character close gap analysing tokenisation bounded nary alphabet considering two natural variant bottomup tokenisation direct tokenisation must respectively select sequence merge operation vocabulary whose application optimally compress dataset first note proving hardness result nary alphabet prof result alphabet larger size prove even binary alphabet variant npcomplete admit polynomialtime approximation scheme unless pnp show direct tokenisation remains npcomplete even applied unary alphabet unary alphabet may practically useful result establishes computational intractability tokenisation artifact large alphabet complex construction fundamental barrier overall result explain practical algorithm bpe unigramlm heuristic point toward approximation algorithm important path going forward tokenisation research,5,"tokenisation, tokenisers"
GeoVista: Web-Augmented Agentic Visual Reasoning for Geolocalization,"Yikun Wang, Zuyan Liu, Ziyi Wang, Pengfei Liu, Han Hu, Yongming Rao","Current research on agentic visual reasoning enables deep multimodal understanding but primarily focuses on image manipulation tools, leaving a gap toward more general-purpose agentic models. In this work, we revisit the geolocalization task, which requires not only nuanced visual grounding but also web search to confirm or refine hypotheses during reasoning. Since existing geolocalization benchmarks fail to meet the need for high-resolution imagery and the localization challenge for deep agentic reasoning, we curate GeoBench, a benchmark that includes photos and panoramas from around the world, along with a subset of satellite images of different cities to rigorously evaluate the geolocalization ability of agentic models. We also propose GeoVista, an agentic model that seamlessly integrates tool invocation within the reasoning loop, including an image-zoom-in tool to magnify regions of interest and a web-search tool to retrieve related web information. We develop a complete training pipeline for it, including a cold-start supervised fine-tuning (SFT) stage to learn reasoning patterns and tool-use priors, followed by a reinforcement learning (RL) stage to further enhance reasoning ability. We adopt a hierarchical reward to leverage multi-level geographical information and improve overall geolocalization performance. Experimental results show that GeoVista surpasses other open-source agentic models on the geolocalization task greatly and achieves performance comparable to closed-source models such as Gemini-2.5-flash and GPT-5 on most metrics.",cs.CV,2025-11-19 18:59:22+00:00,current research agentic visual reasoning enables deep multimodal understanding primarily focus image manipulation tool leaving gap toward generalpurpose agentic model work revisit geolocalization task requires nuanced visual grounding also web search confirm refine hypothesis reasoning since existing geolocalization benchmark fail meet need highresolution imagery localization challenge deep agentic reasoning curate geobench benchmark includes photo panorama around world along subset satellite image different city rigorously evaluate geolocalization ability agentic model also propose geovista agentic model seamlessly integrates tool invocation within reasoning loop including imagezoomin tool magnify region interest websearch tool retrieve related web information develop complete training pipeline including coldstart supervised finetuning sft stage learn reasoning pattern tooluse prior followed reinforcement learning rl stage enhance reasoning ability adopt hierarchical reward leverage multilevel geographical information improve overall geolocalization performance experimental result show geovista surpasses opensource agentic model geolocalization task greatly achieves performance comparable closedsource model gemini25flash gpt5 metric,9,"visionlanguageaction, geolocalization"
In-N-On: Scaling Egocentric Manipulation with in-the-wild and on-task Data,"Xiongyi Cai, Ri-Zhao Qiu, Geng Chen, Lai Wei, Isabella Liu, Tianshu Huang, Xuxin Cheng, Xiaolong Wang","Egocentric videos are a valuable and scalable data source to learn manipulation policies. However, due to significant data heterogeneity, most existing approaches utilize human data for simple pre-training, which does not unlock its full potential. This paper first provides a scalable recipe for collecting and using egocentric data by categorizing human data into two categories: in-the-wild and on-task alongside with systematic analysis on how to use the data. We first curate a dataset, PHSD, which contains over 1,000 hours of diverse in-the-wild egocentric data and over 20 hours of on-task data directly aligned to the target manipulation tasks. This enables learning a large egocentric language-conditioned flow matching policy, Human0. With domain adaptation techniques, Human0 minimizes the gap between humans and humanoids. Empirically, we show Human0 achieves several novel properties from scaling human data, including language following of instructions from only human data, few-shot learning, and improved robustness using on-task data. Project website: https://xiongyicai.github.io/In-N-On/","cs.RO, cs.AI, cs.CV",2025-11-19 18:59:04+00:00,egocentric video valuable scalable data source learn manipulation policy however due significant data heterogeneity existing approach utilize human data simple pretraining unlock full potential paper first provides scalable recipe collecting using egocentric data categorizing human data two category inthewild ontask alongside systematic analysis use data first curate dataset phsd contains 1000 hour diverse inthewild egocentric data 20 hour ontask data directly aligned target manipulation task enables learning large egocentric languageconditioned flow matching policy human0 domain adaptation technique human0 minimizes gap human humanoid empirically show human0 achieves several novel property scaling human data including language following instruction human data fewshot learning improved robustness using ontask data project website httpsxiongyicaigithubioinnon,9,"visionlanguageaction, geolocalization"
RescueLens: LLM-Powered Triage and Action on Volunteer Feedback for Food Rescue,"Naveen Raman, Jingwu Tang, Zhiyu Chen, Zheyuan Ryan Shi, Sean Hudson, Ameesh Kapoor, Fei Fang","Food rescue organizations simultaneously tackle food insecurity and waste by working with volunteers to redistribute food from donors who have excess to recipients who need it. Volunteer feedback allows food rescue organizations to identify issues early and ensure volunteer satisfaction. However, food rescue organizations monitor feedback manually, which can be cumbersome and labor-intensive, making it difficult to prioritize which issues are most important. In this work, we investigate how large language models (LLMs) assist food rescue organizers in understanding and taking action based on volunteer experiences. We work with 412 Food Rescue, a large food rescue organization based in Pittsburgh, Pennsylvania, to design RescueLens, an LLM-powered tool that automatically categorizes volunteer feedback, suggests donors and recipients to follow up with, and updates volunteer directions based on feedback. We evaluate the performance of RescueLens on an annotated dataset, and show that it can recover 96% of volunteer issues at 71% precision. Moreover, by ranking donors and recipients according to their rates of volunteer issues, RescueLens allows organizers to focus on 0.5% of donors responsible for more than 30% of volunteer issues. RescueLens is now deployed at 412 Food Rescue and through semi-structured interviews with organizers, we find that RescueLens streamlines the feedback process so organizers better allocate their time.","cs.CY, cs.LG",2025-11-19 18:55:16+00:00,food rescue organization simultaneously tackle food insecurity waste working volunteer redistribute food donor excess recipient need volunteer feedback allows food rescue organization identify issue early ensure volunteer satisfaction however food rescue organization monitor feedback manually cumbersome laborintensive making difficult prioritize issue important work investigate large language model llm assist food rescue organizer understanding taking action based volunteer experience work 412 food rescue large food rescue organization based pittsburgh pennsylvania design rescuelens llmpowered tool automatically categorizes volunteer feedback suggests donor recipient follow update volunteer direction based feedback evaluate performance rescuelens annotated dataset show recover 96 volunteer issue 71 precision moreover ranking donor recipient according rate volunteer issue rescuelens allows organizer focus 05 donor responsible 30 volunteer issue rescuelens deployed 412 food rescue semistructured interview organizer find rescuelens streamlines feedback process organizer better allocate time,1,"rescuelens, volunteer"
The Impact of Quantization on Large Reasoning Model Reinforcement Learning,"Medha Kumar, Zifei Xu, Xin Wang, Tristan Webb","Strong reasoning capabilities can now be achieved by large-scale reinforcement learning (RL) without any supervised fine-tuning. Although post-training quantization (PTQ) and quantization-aware training (QAT) are well studied in the context of fine-tuning, how quantization impacts RL in large reasoning models (LRMs) remains an open question. To answer this question, we conducted systematic experiments and discovered a significant gap in reasoning performance on mathematical benchmarks between post-RL quantized models and their quantization-aware RL optimized counterparts. Our findings suggest that quantization-aware RL training negatively impacted the learning process, whereas PTQ and QLoRA led to greater performance.",cs.LG,2025-11-19 18:50:58+00:00,strong reasoning capability achieved largescale reinforcement learning rl without supervised finetuning although posttraining quantization ptq quantizationaware training qat well studied context finetuning quantization impact rl large reasoning model lrms remains open question answer question conducted systematic experiment discovered significant gap reasoning performance mathematical benchmark postrl quantized model quantizationaware rl optimized counterpart finding suggest quantizationaware rl training negatively impacted learning process whereas ptq qlora led greater performance,6,"qml, higgs"
Hyperspectral Image Classification using Spectral-Spatial Mixer Network,Mohammed Q. Alkhatib,"This paper introduces SS-MixNet, a lightweight and effective deep learning model for hyperspectral image (HSI) classification. The architecture integrates 3D convolutional layers for local spectral-spatial feature extraction with two parallel MLP-style mixer blocks that capture long-range dependencies in spectral and spatial dimensions. A depthwise convolution-based attention mechanism is employed to enhance discriminative capability with minimal computational overhead. The model is evaluated on the QUH-Tangdaowan and QUH-Qingyun datasets using only 1% of labeled data for training and validation. SS-MixNet achieves the highest performance among compared methods, including 2D-CNN, 3D-CNN, IP-SWIN, SimPoolFormer, and HybridKAN, reaching 95.68% and 93.86% overall accuracy on the Tangdaowan and Qingyun datasets, respectively. The results, supported by quantitative metrics and classification maps, confirm the model's effectiveness in delivering accurate and robust predictions with limited supervision. The code will be made publicly available at: https://github.com/mqalkhatib/SS-MixNet",cs.CV,2025-11-19 18:48:52+00:00,paper introduces ssmixnet lightweight effective deep learning model hyperspectral image hsi classification architecture integrates 3d convolutional layer local spectralspatial feature extraction two parallel mlpstyle mixer block capture longrange dependency spectral spatial dimension depthwise convolutionbased attention mechanism employed enhance discriminative capability minimal computational overhead model evaluated quhtangdaowan quhqingyun datasets using 1 labeled data training validation ssmixnet achieves highest performance among compared method including 2dcnn 3dcnn ipswin simpoolformer hybridkan reaching 9568 9386 overall accuracy tangdaowan qingyun datasets respectively result supported quantitative metric classification map confirm model effectiveness delivering accurate robust prediction limited supervision code made publicly available httpsgithubcommqalkhatibssmixnet,8,"cnntransformer, ssmixnet"
Walrus: A Cross-Domain Foundation Model for Continuum Dynamics,"Michael McCabe, Payel Mukhopadhyay, Tanya Marwah, Bruno Regaldo-Saint Blancard, Francois Rozet, Cristiana Diaconu, Lucas Meyer, Kaze W. K. Wong, Hadi Sotoudeh, Alberto Bietti, Irina Espejo, Rio Fear, Siavash Golkar, Tom Hehir, Keiya Hirashima, Geraud Krawezik, Francois Lanusse, Rudy Morel, Ruben Ohana, Liam Parker, Mariel Pettee, Jeff Shen, Kyunghyun Cho, Miles Cranmer, Shirley Ho","Foundation models have transformed machine learning for language and vision, but achieving comparable impact in physical simulation remains a challenge. Data heterogeneity and unstable long-term dynamics inhibit learning from sufficiently diverse dynamics, while varying resolutions and dimensionalities challenge efficient training on modern hardware. Through empirical and theoretical analysis, we incorporate new approaches to mitigate these obstacles, including a harmonic-analysis-based stabilization method, load-balanced distributed 2D and 3D training strategies, and compute-adaptive tokenization. Using these tools, we develop Walrus, a transformer-based foundation model developed primarily for fluid-like continuum dynamics. Walrus is pretrained on nineteen diverse scenarios spanning astrophysics, geoscience, rheology, plasma physics, acoustics, and classical fluids. Experiments show that Walrus outperforms prior foundation models on both short and long term prediction horizons on downstream tasks and across the breadth of pretraining data, while ablation studies confirm the value of our contributions to forecast stability, training throughput, and transfer performance over conventional approaches. Code and weights are released for community use.","cs.LG, cs.AI, cs.CE",2025-11-19 18:36:03+00:00,foundation model transformed machine learning language vision achieving comparable impact physical simulation remains challenge data heterogeneity unstable longterm dynamic inhibit learning sufficiently diverse dynamic varying resolution dimensionality challenge efficient training modern hardware empirical theoretical analysis incorporate new approach mitigate obstacle including harmonicanalysisbased stabilization method loadbalanced distributed 2d 3d training strategy computeadaptive tokenization using tool develop walrus transformerbased foundation model developed primarily fluidlike continuum dynamic walrus pretrained nineteen diverse scenario spanning astrophysics geoscience rheology plasma physic acoustic classical fluid experiment show walrus outperforms prior foundation model short long term prediction horizon downstream task across breadth pretraining data ablation study confirm value contribution forecast stability training throughput transfer performance conventional approach code weight released community use,8,"cnntransformer, ssmixnet"
"Infrastructuring Pop-Up Cities with ""Social Layer"": Designing Serendipitous Co-Livings for Temporary Intentional Communities","Danwen Ji, Botao 'Amber' Hu","After the pandemic, a new form of ""pop-up city"" has emerged -- co-living gatherings of 100-200 people for 4-8 weeks that differ from conferences and hack houses. These temporary intentional communities leverages existing urban infrastructure, blending daily life (housing, meals, care) with self-organized activities like learning, creating, and socializing. They coordinate bottom-up programming through an ""unconference"" system for identity, calendaring, RSVP, and social discovery that fosters spontaneous, serendipitous, enduring ties. This paper examines the design of ""Social Layer,"" an unconferencing system for pop-up cities. We studied its real-world deployment in ShanHaiWoo (Jilin, China, 2023), muChiangmai (Chiangmai, Thailand, 2023), Edge Esmeralda, Edge Esmeralda (Healdsburg, CA, USA, 2024), Aleph (Buenos Aires, Argentina, 2024), and Gathering of Tribe (Lisbon, Portugal, 2024). Our findings distill: (1) the strong concept ""scaffolded spontaneity"" -- infrastructural affordances that balance structure with openness, amplifying participant agency while maintaining privacy and lightweight governance; (2) design implications for design researchers working on pop-up cities.","cs.HC, cs.CY",2025-11-19 18:28:12+00:00,pandemic new form popup city emerged coliving gathering 100200 people 48 week differ conference hack house temporary intentional community leverage existing urban infrastructure blending daily life housing meal care selforganized activity like learning creating socializing coordinate bottomup programming unconference system identity calendaring rsvp social discovery foster spontaneous serendipitous enduring tie paper examines design social layer unconferencing system popup city studied realworld deployment shanhaiwoo jilin china 2023 muchiangmai chiangmai thailand 2023 edge esmeralda edge esmeralda healdsburg ca usa 2024 aleph buenos aire argentina 2024 gathering tribe lisbon portugal 2024 finding distill 1 strong concept scaffolded spontaneity infrastructural affordances balance structure openness amplifying participant agency maintaining privacy lightweight governance 2 design implication design researcher working popup city,1,"rescuelens, volunteer"
Front-door Reducibility: Reducing ADMGs to the Standard Front-door Setting via a Graphical Criterion,"Jianqiao Mao, Max A. Little","Front-door adjustment provides a simple closed-form identification formula under the classical front-door criterion, but its applicability is often viewed as narrow and strict. Although ID algorithm is very useful and is proved effective for causal relation identification in general causal graphs (if it is identifiable), performing ID algorithm does not guarantee to obtain a practical, easy-to-estimate interventional distribution expression. We argue that the applicability of the front-door criterion is not as limited as it seems: many more complicated causal graphs can be reduced to the front-door criterion. In this paper, We introduce front-door reducibility (FDR), a graphical condition on acyclic directed mixed graphs (ADMGs) that extends the applicability of the classic front-door criterion to reduce a large family of complicated causal graphs to a front-door setting by aggregating variables into super-nodes (FDR triple) $\left(\boldsymbol{X}^{*},\boldsymbol{Y}^{*},\boldsymbol{M}^{*}\right)$. After characterizing FDR criterion, we prove a graph-level equivalence between the satisfication of FDR criterion and the applicability of FDR adjustment. Meanwhile, we then present FDR-TID, an exact algorithm that detects an admissible FDR triple, together with established the algorithm's correctness, completeness, and finite termination. Empirically-motivated examples illustrate that many graphs outside the textbook front-door setting are FDR, yielding simple, estimable adjustments where general ID expressions would be cumbersome. FDR thus complements existing identification method by prioritizing interpretability and computational simplicity without sacrificing generality across mixed graphs.","stat.ML, cs.LG",2025-11-19 18:26:55+00:00,frontdoor adjustment provides simple closedform identification formula classical frontdoor criterion applicability often viewed narrow strict although id algorithm useful proved effective causal relation identification general causal graph identifiable performing id algorithm guarantee obtain practical easytoestimate interventional distribution expression argue applicability frontdoor criterion limited seems many complicated causal graph reduced frontdoor criterion paper introduce frontdoor reducibility fdr graphical condition acyclic directed mixed graph admgs extends applicability classic frontdoor criterion reduce large family complicated causal graph frontdoor setting aggregating variable supernodes fdr triple leftboldsymbolxboldsymbolyboldsymbolmright characterizing fdr criterion prove graphlevel equivalence satisfication fdr criterion applicability fdr adjustment meanwhile present fdrtid exact algorithm detects admissible fdr triple together established algorithm correctness completeness finite termination empiricallymotivated example illustrate many graph outside textbook frontdoor setting fdr yielding simple estimable adjustment general id expression would cumbersome fdr thus complement existing identification method prioritizing interpretability computational simplicity without sacrificing generality across mixed graph,5,"tokenisation, tokenisers"
"MF-GCN: A Multi-Frequency Graph Convolutional Network for Tri-Modal Depression Detection Using Eye-Tracking, Facial, and Acoustic Features","Sejuti Rahman, Swakshar Deb, MD. Sameer Iqbal Chowdhury, MD. Jubair Ahmed Sourov, Mohammad Shamsuddin","Eye tracking data quantifies the attentional bias towards negative stimuli that is frequently observed in depressed groups. Audio and video data capture the affective flattening and psychomotor retardation characteristic of depression. Statistical validation confirmed their significant discriminative power in distinguishing depressed from non depressed groups. We address a critical limitation of existing graph-based models that focus on low-frequency information and propose a Multi-Frequency Graph Convolutional Network (MF-GCN). This framework consists of a novel Multi-Frequency Filter Bank Module (MFFBM), which can leverage both low and high frequency signals. Extensive evaluation against traditional machine learning algorithms and deep learning frameworks demonstrates that MF-GCN consistently outperforms baselines. In binary (depressed and non depressed) classification, the model achieved a sensitivity of 0.96 and F2 score of 0.94. For the 3 class (no depression, mild to moderate depression and severe depression) classification task, the proposed method achieved a sensitivity of 0.79 and specificity of 0.87 and siginificantly suprassed other models. To validate generalizability, the model was also evaluated on the Chinese Multimodal Depression Corpus (CMDC) dataset and achieved a sensitivity of 0.95 and F2 score of 0.96. These results confirm that our trimodal, multi frequency framework effectively captures cross modal interaction for accurate depression detection.","cs.CV, cs.AI",2025-11-19 18:18:53+00:00,eye tracking data quantifies attentional bias towards negative stimulus frequently observed depressed group audio video data capture affective flattening psychomotor retardation characteristic depression statistical validation confirmed significant discriminative power distinguishing depressed non depressed group address critical limitation existing graphbased model focus lowfrequency information propose multifrequency graph convolutional network mfgcn framework consists novel multifrequency filter bank module mffbm leverage low high frequency signal extensive evaluation traditional machine learning algorithm deep learning framework demonstrates mfgcn consistently outperforms baseline binary depressed non depressed classification model achieved sensitivity 096 f2 score 094 3 class depression mild moderate depression severe depression classification task proposed method achieved sensitivity 079 specificity 087 siginificantly suprassed model validate generalizability model also evaluated chinese multimodal depression corpus cmdc dataset achieved sensitivity 095 f2 score 096 result confirm trimodal multi frequency framework effectively capture cross modal interaction accurate depression detection,8,"cnntransformer, ssmixnet"
